partial,f,sigma,r2,fittedFrameCount
1,117.087,0.200701,0.89113,1269
4,465.656,0.226278,0.725109,1269
5,582.742,0.19512,0.694527,1271
6,699.829,0.172876,0.691272,1273
7,816.916,0.211302,0.772614,1265
8,934.003,0.209602,0.773385,1271
9,1052.44,0.268385,0.850886,1266
10,1169.52,0.340076,0.892687,1262
11,1289.3,0.33144,0.846743,1259
24,2995.81,0.713662,0.943011,613
25,2744.14,0.760735,0.932315,722
28,3508.57,1.7274,0.868826,413
32,3771,1.13274,0.85111,430
34,4719.81,2.69776,0.897464,419
41,5001.09,1.38587,0.7223,636
